run_id,trial_number,timestamp,automaton_id,num_robots,num_automaton_states,num_automaton_edges,num_robots,num_ts_regions,total_computation_time_ms,total_nodes_planning,total_nodes_traversed,total_nodes_pruned,nodes_satisfying_ltl,task_allocation_memory_bytes,product_automaton_memory_bytes,product_automaton_nodes,product_automaton_edges,pruning_ratio,explored_product_ratio,tree_makespan_seconds,robots_utilized,robot_utilization_ratio,load_balance_variance
49,1,"2026-08-31 20:33:41",1,45,3,8,45,6,0.411,6,11,5,1,0,0,0,0,0.454545,0,43,10,0.222222,0
50,1,"2026-08-31 20:33:41",2,45,6,14,45,6,0.895,11,23,12,1,0,0,0,0,0.521739,0,90,14,0.311111,0
51,1,"2026-08-31 20:33:41",3,45,10,58,45,6,2.033,19,51,32,2,0,0,0,0,0.627451,0,91,24,0.533333,0
52,1,"2026-08-31 20:33:41",4,45,16,142,45,6,9.19,38,188,150,9,0,0,0,0,0.797872,0,161,14,0.311111,0
53,1,"2026-08-31 20:33:41",5,45,20,200,45,6,7.049,39,111,72,2,0,0,0,0,0.648649,0,285,21,0.466667,0
54,1,"2026-08-31 20:33:42",6,45,27,226,45,6,9.227,53,153,100,6,0,0,0,0,0.653595,0,200,18,0.4,0
55,1,"2026-08-31 20:33:48",7,45,38,252,45,6,20.819,70,165,95,1,0,0,0,0,0.575758,0,285,27,0.6,0
56,1,"2026-08-31 20:33:48",8,45,39,350,45,6,16.737,71,235,164,6,0,0,0,0,0.697872,0,200,14,0.311111,0
57,1,"2026-08-31 20:33:59",9,45,40,357,45,6,15.932,63,205,142,6,0,0,0,0,0.692683,0,200,16,0.355556,0
58,1,"2026-08-31 20:33:59",10,45,43,378,45,6,16.958,66,216,150,6,0,0,0,0,0.694444,0,200,19,0.422222,0
59,1,"2026-08-31 20:34:01",11,45,55,544,45,6,31.455,98,337,239,9,0,0,0,0,0.709199,0,200,34,0.755556,0
60,1,"2026-08-31 20:34:05",12,45,61,598,45,6,36.193,104,359,255,9,0,0,0,0,0.710306,0,200,35,0.777778,0
61,1,"2026-08-31 20:34:05",13,45,96,1458,45,6,70.734,101,410,309,6,0,0,0,0,0.753659,0,161,16,0.355556,0
62,1,"2026-08-31 20:34:05",14,45,128,2187,45,6,131.419,134,588,454,7,0,0,0,0,0.772109,0,161,16,0.355556,0
63,1,"2026-08-31 20:34:06",15,45,192,4374,45,6,368.738,198,908,710,7,0,0,0,0,0.781938,0,200,18,0.4,0
64,1,"2026-08-31 20:34:06",16,45,256,6561,45,6,728.393,263,1294,1031,8,0,0,0,0,0.796754,0,200,18,0.4,0
